data;vel
1/1/2018 00:10;13.32
1/1/2018 00:20;13.64
1/1/2018 00:30;13.19
1/1/2018 00:40;14.87
1/1/2018 00:50;13.74
1/1/2018 01:00;14.36
1/1/2018 01:10;13.38
1/1/2018 01:20;12.27
1/1/2018 01:30;14.99
1/1/2018 01:40;14.43
1/1/2018 01:50;11.69
1/1/2018 02:00;14.73
1/1/2018 02:10;12.66
1/1/2018 02:20;13.22
1/1/2018 02:30;12.62
1/1/2018 02:40;11.88
1/1/2018 02:50;14.95
1/1/2018 03:00;15.51
1/1/2018 03:10;15.36
1/1/2018 03:20;14.38
1/1/2018 03:30;15.41
1/1/2018 03:40;12.17
1/1/2018 03:50;14.87
1/1/2018 04:00;14.8
1/1/2018 04:10;14.79
1/1/2018 04:20;12.25
1/1/2018 04:30;14
1/1/2018 04:40;13.24
1/1/2018 04:50;15.17
1/1/2018 05:00;14.61
1/1/2018 05:10;14.22
1/1/2018 05:20;14.89
1/1/2018 05:30;12.62
1/1/2018 05:40;14.31
1/1/2018 05:50;13.68
1/1/2018 06:00;12.81
1/1/2018 06:10;10.72
1/1/2018 06:20;10.67
1/1/2018 06:30;10.96
1/1/2018 06:40;13.63
1/1/2018 06:50;13.5
1/1/2018 07:00;10.57
1/1/2018 07:10;11.38
1/1/2018 07:20;13.49
1/1/2018 07:30;13.39
1/1/2018 07:40;10.65
1/1/2018 07:50;11.46
1/1/2018 08:00;11.05
1/1/2018 08:10;9.44
1/1/2018 08:20;12.49
1/1/2018 08:30;10.47
1/1/2018 08:40;10.2
1/1/2018 08:50;12.63
1/1/2018 09:00;9.7
1/1/2018 09:10;9.47
1/1/2018 09:20;10.75
1/1/2018 09:30;11.97
1/1/2018 09:40;9.68
1/1/2018 09:50;10.77
1/1/2018 10:00;8.26
1/1/2018 10:10;9.7
1/1/2018 10:20;8.96
1/1/2018 10:30;10.26
1/1/2018 10:40;9.45
1/1/2018 10:50;9.99
1/1/2018 11:00;8.43
1/1/2018 11:10;7.75
1/1/2018 11:20;9.18
1/1/2018 11:30;7.72
1/1/2018 11:40;8.64
1/1/2018 11:50;8.52
1/1/2018 12:00;9.37
1/1/2018 12:10;7.23
1/1/2018 12:20;8.53
1/1/2018 12:30;6.34
1/1/2018 12:40;9.87
1/1/2018 12:50;7.13
1/1/2018 13:00;6.37
1/1/2018 13:10;6.1
1/1/2018 13:20;8.96
1/1/2018 13:30;9.37
1/1/2018 13:40;9.58
1/1/2018 13:50;7.41
1/1/2018 14:00;8.36
1/1/2018 14:10;8.17
1/1/2018 14:20;5.73
1/1/2018 14:30;5.88
1/1/2018 14:40;8.36
1/1/2018 14:50;9.52
1/1/2018 15:00;7.6
1/1/2018 15:10;6.47
1/1/2018 15:20;7.53
1/1/2018 15:30;7.71
1/1/2018 15:40;7.67
1/1/2018 15:50;9.49
1/1/2018 16:00;8.21
1/1/2018 16:10;6.94
1/1/2018 16:20;7.74
1/1/2018 16:30;6.4
1/1/2018 16:40;9.69
1/1/2018 16:50;9.7
1/1/2018 17:00;7.71
1/1/2018 17:10;6.48
1/1/2018 17:20;9.85
1/1/2018 17:30;6.86
1/1/2018 17:40;7.49
1/1/2018 17:50;7.85
1/1/2018 18:00;7.11
1/1/2018 18:10;9.59
1/1/2018 18:20;9.69
1/1/2018 18:30;10.77
1/1/2018 18:40;10.51
1/1/2018 18:50;10.63
1/1/2018 19:00;7.96
1/1/2018 19:10;8.95
1/1/2018 19:20;9.47
1/1/2018 19:30;10.81
1/1/2018 19:40;11.15
1/1/2018 19:50;10.45
1/1/2018 20:00;10.08
1/1/2018 20:10;8.61
1/1/2018 20:20;10.07
1/1/2018 20:30;11.22
1/1/2018 20:40;9.69
1/1/2018 20:50;11.9
1/1/2018 21:00;11.26
1/1/2018 21:10;12.46
1/1/2018 21:20;9.71
1/1/2018 21:30;10.86
1/1/2018 21:40;12.09
1/1/2018 21:50;9.73
1/1/2018 22:00;10.89
1/1/2018 22:10;12.77
1/1/2018 22:20;10.35
1/1/2018 22:30;10.53
1/1/2018 22:40;13.71
1/1/2018 22:50;12.92
1/1/2018 23:00;10.88
1/1/2018 23:10;12.1
1/1/2018 23:20;11.66
1/1/2018 23:30;14.03
1/1/2018 23:40;12.14
1/1/2018 23:50;14.14
2/1/2018 00:00;11.6
2/1/2018 00:10;12.5
2/1/2018 00:20;12.28
2/1/2018 00:30;14.14
2/1/2018 00:40;13.03
2/1/2018 00:50;13.64
2/1/2018 01:00;12.64
2/1/2018 01:10;14.73
2/1/2018 01:20;11.76
2/1/2018 01:30;14.9
2/1/2018 01:40;11.82
2/1/2018 01:50;13.2
2/1/2018 02:00;15.36
2/1/2018 02:10;13.5
2/1/2018 02:20;13.7
2/1/2018 02:30;11.84
2/1/2018 02:40;13.44
2/1/2018 02:50;15.32
2/1/2018 03:00;15
2/1/2018 03:10;15.12
2/1/2018 03:20;13.81
2/1/2018 03:30;15.09
2/1/2018 03:40;13.73
2/1/2018 03:50;14.25
2/1/2018 04:00;12.35
2/1/2018 04:10;13.79
2/1/2018 04:20;14.4
2/1/2018 04:30;12.75
2/1/2018 04:40;11.84
2/1/2018 04:50;12.86
2/1/2018 05:00;12.14
2/1/2018 05:10;13.59
2/1/2018 05:20;11.79
2/1/2018 05:30;12.98
2/1/2018 05:40;14.38
2/1/2018 05:50;14.65
2/1/2018 06:00;14.78
2/1/2018 06:10;14.09
2/1/2018 06:20;12
2/1/2018 06:30;13.92
2/1/2018 06:40;11.9
2/1/2018 06:50;11.99
